#L	H	K	Y	I	error	LB	dL
1.303130288194609	0.0	0.0	0.0	0.005346926458194392	2.3383621427301503e-05	0.0	2.0
1.325917050091167	0.0	0.0	0.0	0.006024908167175886	2.5282042155722895e-05	0.0	2.0
1.348700143671133	0.0	0.0	0.0	0.005801024832363668	2.5209931103408346e-05	0.0	2.0
1.371473876739257	0.0	0.0	0.0	0.0066388009545726235	2.7455613654658464e-05	0.0	2.0
0.3000008420510398	1.0	1.0	0.0	0.0033152004458533797	5.182102818074919e-06	1.0	2.0
0.3400000646192931	1.0	1.0	0.0	0.003435278530463272	5.626503768852543e-06	1.0	2.0
0.3799997785095309	1.0	1.0	0.0	0.0038861938452907662	6.3409567502995015e-06	1.0	2.0
0.4200006070937362	1.0	1.0	0.0	0.004461852950670182	7.141847129357204e-06	1.0	2.0
0.4599996824556745	1.0	1.0	0.0	0.005180779000259155	8.050932761240233e-06	1.0	2.0
0.5000016856439373	1.0	1.0	0.0	0.006019512515682659	9.06917922179604e-06	1.0	2.0
0.5400001209282594	1.0	1.0	0.0	0.007643973847609859	1.061171827018776e-05	1.0	2.0
0.5800000117212373	1.0	1.0	0.0	0.009128780584890176	1.2013062567337477e-05	1.0	2.0
0.6200000226949653	1.0	1.0	0.0	0.010795237793009262	1.3523466164233684e-05	1.0	2.0
0.6599998286061118	1.0	1.0	0.0	0.013458748143337385	1.5597454999374464e-05	1.0	2.0
0.6999991401940207	1.0	1.0	0.0	0.015739035518284098	1.733011661100159e-05	1.0	2.0
0.7400013990078388	1.0	1.0	0.0	0.02031611492216369	2.026781820481652e-05	1.0	2.0
0.7800009964018383	1.0	1.0	0.0	0.027898367199792055	2.4360710211378674e-05	1.0	2.0
0.8199988518462767	1.0	1.0	0.0	0.04067734121003948	3.0205901243133026e-05	1.0	2.0
0.8600031412811757	1.0	1.0	0.0	0.06688801647143824	3.964669443175861e-05	1.0	2.0
0.9000019251356547	1.0	1.0	0.0	0.13055847114133273	5.6733178235353635e-05	1.0	2.0
1.144998626018924	1.0	1.0	0.0	0.06161896691741631	4.388898848511663e-05	1.0	2.0
1.19000040012708	1.0	1.0	0.0	0.033798089183923546	3.306914956186743e-05	1.0	2.0
1.234999654223473	1.0	1.0	0.0	0.021628459514851792	2.6929365020958598e-05	1.0	2.0
