# rodscan: ['L', 'H', 'K', 0, 'F', 'Ferr', 'BL', 'dL']
# Escan: ['E', 'H', 'K', 'L', 'F', 'Ferr', 'BL', 'dL']
3.01100000  2.00  0.00  0.00 0.12202767 0.00267096 2.00000000 2.00000000
3.13100000  2.00  0.00  0.00 0.13155496 0.00293031 2.00000000 2.00000000
3.25100000  2.00  0.00  0.00 0.13992141 0.00314902 2.00000000 2.00000000
3.37100000  2.00  0.00  0.00 0.16753938 0.00350746 2.00000000 2.00000000
3.49100000  2.00  0.00  0.00 0.19521807 0.00398697 2.00000000 2.00000000
3.61100000  2.00  0.00  0.00 0.25064459 0.00490045 2.00000000 2.00000000
3.73100000  2.00  0.00  0.00 0.34959992 0.00654392 2.00000000 2.00000000
3.77100000  2.00  0.00  0.00 0.39601982 0.00741876 2.00000000 2.00000000
3.81100000  2.00  0.00  0.00 0.47596957 0.00861927 2.00000000 2.00000000
3.85100000  2.00  0.00  0.00 0.59268756 0.01036496 2.00000000 2.00000000
3.89100000  2.00  0.00  0.00 0.78769214 0.01330847 2.00000000 2.00000000
3.93100000  2.00  0.00  0.00 1.17944139 0.01924376 2.00000000 2.00000000
3.97100000  2.00  0.00  0.00 2.46444450 0.03870806 2.00000000 2.00000000
4.01100000  2.00  0.00  0.00 20.78166413 0.32412401 2.00000000 2.00000000
4.05100000  2.00  0.00  0.00 1.90568672 0.03013948 2.00000000 2.00000000
4.09100000  2.00  0.00  0.00 0.97615206 0.01623444 2.00000000 2.00000000
4.13100000  2.00  0.00  0.00 0.64680066 0.01128679 2.00000000 2.00000000
4.17100000  2.00  0.00  0.00 0.47206779 0.00868529 2.00000000 2.00000000
4.21100000  2.00  0.00  0.00 0.36582854 0.00711188 2.00000000 2.00000000
4.25100000  2.00  0.00  0.00 0.29696875 0.00590506 2.00000000 2.00000000
4.29100000  2.00  0.00  0.00 0.24893841 0.00494017 2.00000000 2.00000000
4.33100000  2.00  0.00  0.00 0.20972151 0.00417709 2.00000000 2.00000000
4.45100000  2.00  0.00  0.00 0.13270969 0.00251396 2.00000000 2.00000000
4.57100000  2.00  0.00  0.00 0.08597228 0.00168994 2.00000000 2.00000000
4.69100000  2.00  0.00  0.00 0.05991069 0.00121454 2.00000000 2.00000000
4.81100000  2.00  0.00  0.00 0.04556332 0.00103838 2.00000000 2.00000000
4.93100000  2.00  0.00  0.00 0.03935942 0.00091444 2.00000000 2.00000000
5.05100000  2.00  0.00  0.00 0.04450764 0.00098302 2.00000000 2.00000000
5.17100000  2.00  0.00  0.00 0.06068708 0.00123717 2.00000000 2.00000000
5.29100000  2.00  0.00  0.00 0.07148195 0.00143800 2.00000000 2.00000000
5.41100000  2.00  0.00  0.00 0.09405274 0.00184336 2.00000000 2.00000000
5.53100000  2.00  0.00  0.00 0.11948017 0.00228632 2.00000000 2.00000000
